aarthanan,a0630505,ˈɑːθˈɑːnən
aartheehan,a06305,ˈɑːθiːhən
aartheepan,a0630105,ˈɑːθiːpˌan
aarthi,a0630,ˈɑːθa͡ɪ
aarthick,a06302,ˈɑːθɪk
aarthiga,a063020,ˈɑːθɪɡə
aarthihan,a06305,ˈɑːθɪhˌan
aarthik,a06302,ˈɑːθɪk
aarthika,a063020,ˈɑːθɪkə
aarthikaa,a063020,ˈɑːθɪkˌɑː
aarthikan,a0630205,ˈɑːθɪkən
aarthikayini,a06302050,ˈɑːθɪke͡ɪˈiːnɪ
aarthikeyan,a0630205,ˈɑːθa͡ɪkjən
aarthikha,a063020,ˈɑːθɪkə
aarthira,a063060,ˈɑːθˈi͡əɹə
aarthisha,a063020,ˈɑːθˈiːʃə
aarthithan,a0630305,ˈɑːðɪθən
aarthiyan,a06305,ˈɑːθɪjən
aarthmeeka,a06305020,ˈɑːθmiːkə
aarthmika,a06305020,ˈɑːθmɪkə
aarthy,a0630,ˈɑːði
aarthyka,a063020,ˈɑːðɪkə
aarti,a0630,ˈɑːti
aartika,a063020,ˈɑːtɪkə
aartishan,a0630205,ˈɑːtɪʃən
aartraloon,a06360405,ˈɑːtɹɐlˈuːn
aarty,a0630,ˈɑːti
aaruban,a060105,ˈɑːɹuːbən
aaruchi,a06020,ˌɑːɹˈʌt͡ʃɪ
aarudh,a06030,ˈɑːɹʌd
aarudhra,a0603060,ˈɑːɹʌdɹə
aaruduraa,a0603060,ˈɑːɹuːdjˌʊ͡əɹɑː
aaruhi,a060,ˌɑːɹˈuːhɪ
aaruja,a06020,ˈɑːɹuːd͡ʒə
aarujan,a060205,ˈɑːɹuːd͡ʒən
aarukshan,a060205,ˈɑːɹʌkʃən
aarul,a0604,ˈɑːɹʌl
aarun,a0605,ˈɑːɹʌn
aaruna,a06050,ˈɑːɹˈuːnə
aaruni,a06050,ˈɑːɹuːni
aarunya,a06050,ˌɑːɹˈʌnjə
aarupa,a06010,ˈɑːɹuːpə
aarura,a06060,ˈɑːɹʊ͡əɹə
aaruran,a060605,ˈɑːɹʊ͡əɹən
aaruren,a060605,ˈɑːɹʊ͡əɹən
aarusan,a060205,ˈɑːɹuːsən
aarush,a06020,ˈɑːɹʌʃ
aarusha,a06020,ˌɑːɹˈʌʃə
aarushan,a060205,ˈɑːɹʌʃən
aarushee,a06020,ˈɑːɹəʃˌiː
aarushi,a06020,ˌɑːɹˈʌʃi
aaruta,a06030,ˈɑːɹuːtə
aaruthan,a060305,ˈɑːɹuːθən
aaruthi,a06030,ˌɑːɹˈuːθɪ
aaruthra,a0603060,ˈɑːɹuːθɹə
aaruthran,a06030605,ˈɑːɹuːθɹən
aaruthura,a0603060,ˈɑːɹuːθjˈʊ͡əɹə
aarvalan,a0610405,ˈɑːvɐlˌan
aarvan,a06105,ˈɑːvan
aarvi,a0610,ˈɑːvi
aarvith,a061030,ˈɑːvɪθ
aary,a060,ˈɑːɹi
aarya,a060,ˈɑːɹɪə
aaryaa,a060,ˈɑːɹɪˌɑː
aaryak,a0602,ˈɑːɹɪˌak
aaryaman,a060505,ˈɑːɹɪˌamən
aaryamani,a0605050,ˈɑːɹɪɐmˈɑːni
aaryamik,a060502,ˈɑːɹɪˌamɪk
aaryan,a0605,ˈɑːɹɪən
aaryana,a06050,ˈɑːɹɪˈɑːnə
aaryav,a0601,ˈɑːɹɪˌav
aaryaveer,a060106,ˈɑːɹɪɐvˈi͡ə
aaryavir,a060106,ˈɑːɹɪˌavi͡ə
aaryen,a0605,ˈɑːɹɪən
aaryesh,a06020,ˈɑːɹɪˌɛʃ
aaryik,a0602,ˈɑːjɪk
aarythy,a06030,ˈɑːɹɪθi
aarzoo,a0620,ˈɑːzuː
aasa,a020,ˈɑːsə
aasaajyoeti,a0202030,ˈɑːsɑːd͡ʒɪˌə͡ʊti
aasaalata,a0204030,ˌɑːsɑːlˈɑːtə
aasai,a020,ˈɑːsa͡ɪ
aasaichelvi,a02020410,ˈɑːse͡ɪt͡ʃˌɛlvi
aasarya,a02060,ˈɑːsɑːɹɪə
aasav,a0201,ˈɑːsav
aaseha,a020,ˈɑːsɛhə
aasha,a020,ˈɑːʃə
aashaka,a02020,ɑːʃˈɑːkə
aashakiran,a02020605,ˈɑːʃɐkˌɜːɹən
aashalata,a0204030,ˌɑːʃɐlˈɑːtə
aashalatha,a0204030,ˌɑːʃɐlˈaθə
aashali,a02040,ɑːʃˈɑːli
aashan,a0205,ˈɑːʃən
aashana,a02050,ɑːʃˈɑːnə
aashang,a02052,ˈɑːʃaŋ
aashani,a02050,ɑːʃˈɑːni
aashank,a02052,ˈɑːʃaŋk
aashara,a02060,ɑːʃˈɑːɹə
aashay,a020,ˈɑːʃe͡ɪ
aashayan,a0205,ˈɑːʃe͡ɪən
aashcharya,a0202060,ˈɑːʃt͡ʃɑːɹɪə
aasheesh,a02020,ˈɑːʃiːʃ
aasheka,a02020,ˈɑːʃɛkə
aashi,a020,ˈɑːʃi
aashif,a0201,ˈɑːʃɪf
aashik,a0202,ˈɑːʃɪk
aashika,a02020,ˈɑːʃɪkə
aashima,a02050,ɑːʃˈiːmə
aashin,a0205,ˈɑːʃɪn
aashini,a02050,ˈɑːʃa͡ɪni
aashinya,a02050,ɑːʃˈɪnjə
aashir,a0206,ˈɑːʃi͡ə
aashirvad,a0206103,ˈɑːʃəvˌad
aashirya,a02060,ˈɑːʃəɹɪə
aashish,a02020,ˈɑːʃɪʃ
aashisha,a02020,ɑːʃˈiːʃə
aashita,a02030,ɑːʃˈiːtə
aashith,a02030,ˈɑːʃɪθ
aashiyana,a02050,ˌɑːʃɪjˈɑːnə
aashka,a02020,ˈɑːʃkə
aashlesh,a0204020,ˈɑːʃlɛʃ
aashman,a020505,ˈɑːʃmən
aashmeen,a020505,ˈɑːʃmiːn
aashna,a02050,ˈɑːʃnə
aashni,a02050,ˈɑːʃni
aashray,a02060,ˈɑːʃɹe͡ɪ
aashraya,a02060,ˈɑːʃɹe͡ɪə
aashresh,a0206020,ˈɑːʃɹɛʃ
aashrita,a0206030,ɑːʃɹˈiːtə
aashrith,a0206030,ˈɑːʃɹɪθ
aashritha,a0206030,ɑːʃɹˈɪθə
aashrut,a020603,ˈɑːʃɹʌt
aashta,a02030,ˈɑːʃtə
aashtha,a02030,ˈɑːʃθə
aashu,a020,ˈɑːʃuː
aashuinat,a020503,ˈɑːʃjuːˌɪnat
aashutosh,a0203020,ˈɑːʃjuːtˌɒʃ
aashvani,a0201050,ɑːʃvˈɑːni
aashvath,a0201030,ˈɑːʃvaθ
aashvi,a02010,ˈɑːʃvi
aashvith,a0201030,ˈɑːʃvɪθ
aashwin,a0205,ˈɑːʃwɪn
aasia,a020,ˈɑːzi͡ə
aasif,a0201,ˈɑːsɪf
aasigha,a02020,ˈɑːsa͡ɪə
aasim,a0205,ˈɑːsɪm
aasini,a02050,ɑːsˈiːnɪ
aasinthiya,a020530,ˈɑːsɪnθˌɪjə
aasiritha,a0206030,ˌɑːsɪɹˈɪθə
aasit,a0203,ˈɑːsɪt
aasitha,a02030,ɑːsˈɪθə
aasiya,a020,ˈɑːsɪjə
aaslunan,a0240505,ˈɑːsluːnən
aasmaa,a0250,ˈɑːzmɑː
aasmee,a0250,ˈɑːzmiː
aasmi,a0250,ˈɑːzmi
aasra,a0260,ˈɑːsɹə
aasrita,a026030,ɑːsɹˈiːtə
aastha,a0230,ˈɑːsθə
aasthaa,a0230,ˈɑːsθɑː
aasthika,a023020,ˈɑːsθɪkə
aasthwi,a0230,ˈɑːsθwi
aastik,a02302,ˈɑːstɪk
aasvi,a0210,ˈɑːsvi
aasya,a020,ˈɑːsɪə
aatalarasi,a030406020,ˌɑːtɐlɐɹˈɑːsi
aatallan,a030405,ˈɑːtalən
aathaara,a03060,ɑːθˈɑːɹə
aathahi,a030,ɑːθˈɑːhɪ
aathan,a0305,ˈɑːθən
aathana,a03050,ɑːθˈɑːnə
aathanan,a030505,ɑːθˈɑːnən
aathangan,a0305205,ˈɑːθaŋɡən
aathangi,a030520,ˈɑːθaŋɡi
aathangya,a030520,ˈɑːθɐŋɪə
aathani,a03050,ɑːθˈɑːni
aathanvan,a0305105,ˈɑːθɐnvˌan
aathanya,a03050,ɑːθˈanjə
aathanyan,a030505,ɑːθˈanjən
aatharakesha,a030602020,ˈɑːθɐɹəkʃə
aatharan,a030605,ˈɑːθaɹən
aatharasan,a03060205,ˈɑːθɐɹˌasən
aatharna,a030650,ˈɑːθɑːnə
aatharsan,a0306205,ˈɑːθɑːsən
aatharsha,a030620,ˈɑːθɑːʃə
aatharshan,a0306205,ˈɑːθɑːʃən
aatharshi,a030620,ˈɑːθɑːʃi
aatharshini,a03062050,ˈɑːθɑːʃˌa͡ɪni
aatharshna,a03062050,ˈɑːθɑːʃnə
aatharya,a03060,ˈɑːθɑːɹɪə
aatharyana,a0306050,ˌɑːθɑːɹɪˈɑːnə
aathavan,a030105,ˈɑːθɐvˌan
aathaven,a030105,ˈɑːθe͡ɪvən
aathavi,a03010,ˈɑːθavi
aathavy,a03010,ˈɑːθavi
aathayan,a0305,ˈɑːθe͡ɪən
aathe,a030,ˈɑːð
aatheeban,a030105,ˈɑːθiːbən
aathees,a0302,ˈɑːθiːz
aatheesan,a030205,ˈɑːθiːsən
aatheesanan,a03020505,ˌɑːθiːsˈɑːnən
aatheesh,a03020,ˈɑːθiːʃ
aatheesha,a03020,ɑːθˈiːʃə
aatheeshan,a030205,ˈɑːθiːʃən
aatheethan,a030305,ˈɑːθiːθən
aathegi,a03020,ˈɑːθɛɡɪ
aathenaa,a03050,ˈɑːθənˌɑː
aatherai,a03060,ˈɑːθəɹˌa͡ɪ
aathersh,a030620,ˈɑːðəʃ
aatherya,a03060,ˈɑːθəɹɪə
aathes,a0302,ˈɑːðz
aathesh,a03020,ˈɑːθɛʃ
aatheshan,a030205,ˈɑːθɛʃən
aathevan,a030105,ˈɑːθɪvˌan
aathi,a030,ˈɑːθa͡ɪ
aathibagavan,a0301020105,ˈɑːθɪbˌaɡɐvˌan
aathijeyan,a030205,ˈɑːθa͡ɪd͡ʒjən
aathika,a03020,ˈɑːθɪkə
aathikan,a030205,ˈɑːθɪkən
aathikesan,a03020205,ˈɑːθa͡ɪksən
aathikesavan,a0302020105,ˈɑːθa͡ɪksˌavan
aathikeyan,a030205,ˈɑːθa͡ɪkjən
aathikka,a03020,ˈɑːθɪkə
aathilakshmi,a030402050,ˈɑːθɪlˌakʃmi
aathilan,a030405,ˈɑːθɪlˌan
aathimahal,a030504,ˈɑːθɪmˌahə͡l
aathimarai,a0305060,ˈɑːθɪmˌaɹa͡ɪ
aathimozhi,a0305020,ˌɑːθɪmˈɒʒɪ
aathina,a03050,ˈɑːθɪnə
aathinathan,a03050305,ˈɑːθɪnəθən
aathini,a03050,ɑːθˈiːnɪ
aathipan,a030105,ˈɑːθɪpˌan
aathipiran,a03010605,ˈɑːθɪpˌɜːɹən
aathira,a03060,ɑːθˈi͡əɹə
aathiraa,a03060,ˈɑːθəɹˌɑː
aathirai,a03060,ˈɑːθəɹˌa͡ɪ
aathiraiyan,a030605,ˈɑːθəɹˌe͡ɪjən
aathiraiyen,a030605,ˈɑːθəɹˌe͡ɪjən
aathiram,a030605,ˈɑːθəɹˌam
aathiran,a030605,ˈɑːθɜːɹən
aathiraya,a03060,ˈɑːθəɹˌe͡ɪə
aathirayal,a030604,ˈɑːθəɹˌe͡ɪə͡l
aathirayan,a030605,ˈɑːθəɹˌe͡ɪən
aathiresan,a03060205,ˈɑːθa͡ɪ͡əsən
aathiri,a03060,ɑːθˈi͡əɹi
aathiruban,a03060105,ˈɑːθəɹˌuːbən
aathis,a0302,ˈɑːθa͡ɪz
aathisekan,a03020205,ˈɑːθa͡ɪskən
aathiseshan,a03020205,ˈɑːθa͡ɪsʃən
aathish,a03020,ˈɑːθɪʃ
aathisha,a03020,ɑːθˈiːʃə
aathishaeshan,a03020205,ˈɑːθɪʃˌiːʃən
aathishan,a030205,ˈɑːθɪʃən
aathishankar,a030205206,ˈɑːθɪʃˌaŋkɑː
aathiswaran,a03020605,ˈɑːθɪswˌɔːɹən
aathisyan,a030205,ˈɑːθɪsɪən
aathith,a03030,ˈɑːðɪθ
aathithan,a030305,ˈɑːðɪθən
aathithiyan,a030305,ˈɑːðɪθˌɪjən
aathiththyan,a03030305,ˈɑːðɪθθɪən
aathithya,a03030,ˈɑːðɪθɪə
aathithyaa,a03030,ˈɑːðɪθɪˌɑː
aathithyan,a030305,ˈɑːðɪθɪən
aathithyarajan,a0303060205,ˈɑːðɪθjˌaɹad͡ʒən
aathithyen,a030305,ɑːðˈɪθɪən
aathivelan,a03010405,ˈɑːθɪvˌɛlan
aathiyal,a0304,ˈɑːθɪjə͡l
aathiyan,a0305,ˈɑːθɪjən
aathiyannal,a030504,ˈɑːθɪjˌanə͡l
aathiyarasi,a0306020,ˌɑːθɪjɐɹˈɑːsi
aathman,a030505,ˈɑːθmən
aathmeeka,a0305020,ˈɑːθmiːkə
aathmesh,a0305020,ˈɑːθmɛʃ
aathmiga,a0305020,ˈɑːθmɪɡə
aathmiha,a03050,ˈɑːθmɪhə
aathmika,a0305020,ˈɑːθmɪkə
aathmitha,a0305030,ɑːθmˈɪθə
aathmiya,a03050,ˈɑːθmɪjə
aathooran,a030605,ˈɑːθɔːɹən
aathoosha,a03020,ɑːθˈuːʃə
aathrav,a030601,ˈɑːθɹav
aathriya,a03060,ˈɑːθɹɪjə
aathulan,a030405,ˈɑːθjʊlˌan
aathura,a03060,ɑːθjˈʊ͡əɹə
aathurai,a03060,ˈɑːθjʊ͡əɹˌa͡ɪ
aathuran,a030605,ˈɑːθjʊ͡əɹən
aathuri,a03060,ˈɑːθjʊ͡əɹi
aathury,a03060,ˈɑːθjʊɹi
aathuryan,a030605,ˈɑːθjʊɹɪən
aathusha,a03020,ɑːθˈʌʃə
aathushan,a030205,ˈɑːθʌʃən
aathushi,a03020,ɑːθˈʌʃi
aathvan,a030105,ˈɑːθvan
aathveka,a0301020,ˈɑːθvɛkə
aathviga,a0301020,ˈɑːθvɪɡə
aathviha,a03010,ˈɑːθvɪhə
aathvika,a0301020,ˈɑːθvɪkə
aathvithan,a03010305,ˈɑːθvɪθən
aathy,a030,ˈɑːθi
aathyana,a03050,ˌɑːθɪˈɑːnə
aatif,a0301,ˈɑːtɪf
aatika,a03020,ˈɑːtɪkə
aatikah,a03020,ˈɑːtɪkə
aatish,a03020,ˈɑːtɪʃ
aatisha,a03020,ɑːtˈiːʃə
aatma,a0350,ˈɑːtmə
aatmaj,a03502,ˈɑːtmad͡ʒ
aatmaja,a035020,ɑːtmˈɑːd͡ʒə
aatman,a03505,ˈɑːtmən
aatmanand,a03505053,ˈɑːtmɐnˌand
aatmaram,a0350605,ˈɑːtmɐɹˌam
aatmay,a0350,ˈɑːtme͡ɪ
aatmik,a03502,ˈɑːtmɪk
aatmika,a035020,ˈɑːtmɪkə
aatral,a03604,ˈɑːtɹə͡l
aatrayi,a0360,ˈɑːtɹe͡ɪi
aatrey,a0360,ˈɑːtɹi
aatreya,a0360,ˈɑːtɹa͡ɪə
aatreyi,a0360,ˈɑːtɹa͡ɪi
aaush,a020,ˈɑːɹʌʃ
aaushi,a020,ɑːɹˈʌʃi
aavalan,a010405,ˈɑːvɐlˌan
aavanan,a010505,ɑːvˈɑːnən
aavani,a01050,ɑːvˈɑːni
aavannan,a010505,ˈɑːvanən
aavansh,a010520,ˈɑːvanʃ
aavanthi,a010530,ɑːvˈanθɪ
aavantika,a01053020,ˈɑːvantˌɪkə
aavanya,a01050,ɑːvˈanjə
aavanyan,a010505,ɑːvˈanjən
aavaran,a010605,ˈɑːvaɹən
aavarshi,a010620,ˈɑːvɑːʃi
aavarthan,a0106305,ˈɑːvɑːθən
aavarthana,a01063050,ˌɑːvɑːθˈɑːnə
aavarthanan,a010630505,ˌɑːvɑːθˈɑːnən
aavaru,a01060,ˈɑːvɑːɹˌuː
aaveg,a0102,ˈɑːvɛɡ
aavesh,a01020,ˈɑːvɛʃ
aavi,a010,ˈɑːvi
aavihshka,a0102020,ˈɑːvɪhʃkə
aavinya,a01050,ɑːvˈɪnjə
aavish,a01020,ˈɑːvɪʃ
aavithra,a0103060,ˈɑːvɪθɹə
aavula,a01040,ˈɑːvjʊlə
aavya,a010,ˈɑːvɪə
aayakallai,a02040,ˈɑːjɐkˌala͡ɪ
aayaki,a020,ɑːjˈaki
aayam,a050,ˈɑːjam
aayan,a050,ˈɑːjən
aayanan,a0505,ɑːjˈɑːnən
aayansh,a0520,ˈɑːjanʃ
aayat,a030,ˈɑːjat
aayati,a030,ɑːjˈɑːti
aayaushi,a020,ɑːjˈɔːʃi
aayeli,a040,ˈɑːjɛli
aayesha,a020,ɑːjˈɛʃə
aayili,a040,ˈɑːjɪli
aayiliya,a040,ˈɑːjɪlˌɪjə
aayiliyan,a0405,ˈɑːjɪlˌɪjən
aayilyan,a0405,ˈɑːjɪlɪən
aayisha,a020,ɑːjˈiːʃə
aayod,a030,ˈɑːjɒd
aayosan,a0205,ˈɑːjɒsən
aaysha,a020,ˈɑːɹɪʃə
aayu,a000,ˈɑːjuː
aayudh,a030,ˈɑːjʌd
aayuratha,a06030,ˌɑːjuːɹˈaθə
aayurathan,a060305,ˈɑːjuːɹəθən
aayus,a020,ˈɑːjəs
aayush,a020,ˈɑːjʌʃ
aayushan,a0205,ˈɑːjuːʃən
aayushi,a020,ɑːjˈuːʃi
aayushmaan,a020505,ˈɑːjuːʃmˌɑːn
aayushman,a020505,ˈɑːjuːʃmən
aayushri,a02060,ˈɑːjuːʃɹi
aayuthan,a0305,ˈɑːjuːθən
aayuthen,a0305,ˈɑːjuːðən
aazhichelvi,a02020410,ˈɑːʒɪt͡ʃˌɛlvi
aazhikumari,a020205060,ˈɑːʒɪkjˌuːməɹi
aazhimanni,a0205050,ˈɑːʒɪmˌani
aazhimathi,a0205030,ˌɑːʒɪmˈaθɪ
aazhimuthu,a0205030,ˌɑːʒɪmˈʌθuː
aazhinaayagi,a0205020,ˌɑːʒɪnɑːjˈɑːɡɪ
aazhinangai,a02050520,ˈɑːʒɪnˌaŋɡa͡ɪ
aazhiyarasi,a0206020,ˌɑːʒɪjɐɹˈɑːsi
aazim,a0205,ˈɑːzɪm
abaan,a105,ɐbˈɑːn
abadhya,a1030,ɐbˈadɪə
abaesh,a1020,ɐbˈiːʃ
abaesha,a1020,ɐbˈiːʃə
abaiya,a100,ɐbˈe͡ɪjə
abaiyan,a105,ɐbˈe͡ɪjən
abajan,a10205,ɐbˈad͡ʒən
abalya,a1040,ɐbˈalɪə
aban,a105,ɐbˈan
abani,a1050,ɐbˈani
abanika,a105020,ɐbˈanɪkə
abanindra,a10505360,ɐbɐnˈɪndɹə
abanindranath,a105053605030,ɐbˈanɪndɹɐnˌaθ
abanisha,a105020,ɐbɐnˈiːʃə
abanitha,a105030,ɐbɐnˈɪθə
abarajith,a10602030,ɐbˈaɹɐd͡ʒˌɪθ
abarajitha,a10602030,ɐbˌaɹɐd͡ʒˈɪθə
abarajithan,a106020305,ɐbˈaɹɐd͡ʒˌɪθən
abaran,a10605,ɐbˈaɹən
abarana,a106050,ɐbɐɹˈɑːnə
abaranjan,a10605205,ɐbˈaɹand͡ʒən
abaranjini,a106052050,ɐbˌaɹɐnd͡ʒˈiːnɪ
abarika,a106020,ɐbˈɑːɹɪkə
abarisha,a106020,ɐbɑːɹˈiːʃə
abarna,a10650,ɐbˈɑːnə
abarnaa,a10650,ɐbˈɑːnɑː
abarnah,a10650,ɐbˈɑːnə
abarnaja,a1065020,ɐbɑːnˈɑːd͡ʒə
abarnath,a1065030,ɐbˈɑːnaθ
abarnaya,a10650,ɐbˈɑːne͡ɪə
abarni,a10650,ɐbˈɑːni
abarnica,a1065020,ɐbˈɑːnɪkə
abarnicca,a1065020,ɐbˈɑːnɪkə
abarnika,a1065020,ɐbˈɑːnɪkə
abarsha,a10620,ɐbˈɑːʃə
abarshan,a106205,ɐbˈɑːʃən
abarshana,a1062050,ɐbɑːʃˈɑːnə
abarshanan,a10620505,ɐbɑːʃˈɑːnən
abarshaya,a10620,ɐbˈɑːʃe͡ɪə
abarshika,a1062020,ɐbˈɑːʃɪkə
abarshini,a1062050,ɐbˈɑːʃa͡ɪni
abay,a100,ɐbˈe͡ɪ
abaya,a100,ɐbˈe͡ɪə
abayan,a105,ɐbˈe͡ɪən
abayana,a1050,ɐbe͡ɪˈɑːnə
abayanthan,a105305,ɐbˈe͡ɪanθən
abayomi,a1050,ɐbe͡ɪˈə͡ʊmi
abbas,a102,ˈabəz
abbaseh,a1020,ˈabe͡ɪsˌe͡ɪ
abbhinav,a10501,ˈabhɪnˌav
abbi,a100,ˈabi
abbie,a100,ˈabi
abbilashan,a1040205,ˈabɪlˌaʃən
abbir,a106,ˈabi͡ə
abbirami,a106050,ˌabəɹˈɑːmi
abbiramy,a106050,ˈabəɹˌami
abbirani,a106050,ˌabəɹˈɑːni
abbirany,a106050,ˈabəɹəni
abbireddygari,a1060302060,ˌaba͡ɪ͡ədɪɡˈɑːɹi
abbishanya,a102050,ˌabɪʃˈanjə
abbishini,a102050,ˈabɪʃˌa͡ɪni
abbiyuga,a1020,ˈabɪjˌuːɡə
abbott,a103,ˈabət
abbu,a100,ˈabuː
abbud,a103,ˈabʌd
abbudin,a10305,ˈabjuːdˌɪn
abburi,a1060,ˈabɛɹi
abby,a100,ˈabi
abbynaya,a1050,ˈabɪnˌe͡ɪə
abbynayha,a1050,ˈabɪnˌe͡ɪhə
abbyrani,a106050,ˌabɪɹˈɑːni
abbyrany,a106050,ˈabɪɹəni
abda,a130,ˈabdə
abdhi,a130,ˈabdha͡ɪ
abdhija,a13020,ˈabdhɪd͡ʒə
abdhol,a1304,ˈabdhɒl
abdhul,a1304,ˈabdhʌl
abdieso,a13020,abdˈɪsə͡ʊ
abdu,a130,ˈabduː
abdul,a1304,ˈabdʊl
abdulla,a13040,ˈabdʌlə
abdullah,a13040,ˈabdʌlə
abdulmugeeth,a1304502030,ˈabdəlmjˌuːd͡ʒiːθ
abdulrashid,a130460203,ˈabdəlɹˌaʃɪd
abdulsamad,a130420503,ˈabdəlsˌamad
abdulshemeer,a130420506,ˌabdəlʃɪmˈi͡ə
abdur,a1306,ˈabdjʊ͡ə
abdus,a1302,ˈabdəs
abed,a103,ɐbˈɛd
abedin,a10305,ɐbˈɛdɪn
abeedha,a1030,ˈabiːdhə
abeena,a1050,ˈabiːnə
abeer,a106,abˈi͡ə
abeera,a1060,abˈi͡əɹə
abeeran,a10605,abˈi͡əɹən
abeeratha,a106030,abˌi͡əɹˈaθə
abeerathi,a106030,abˌi͡əɹˈaθɪ
abeeren,a10605,abˈi͡əɹən
abeersha,a10620,abˈi͡əʃə
abeesa,a1020,ˈabiːsə
abeesan,a10205,ˈabiːsən
abeesh,a1020,ˈabiːʃ
abeesha,a1020,abˈiːʃə
abeeshan,a10205,ˈabiːʃən
abeeshana,a102050,ˌabiːʃˈɑːnə
abeeshka,a102020,ˈabiːʃkə
abeeshnan,a1020505,ˈabiːʃnən
abeeth,a1030,ˈabiːθ
abeishan,a10205,ɐbˈe͡ɪʃən
abel,a104,ˈe͡ɪbə͡l
abelash,a104020,ˈe͡ɪbə͡lˌaʃ
abena,a1050,ɐbˈiːnə
abenajan,a1050205,ɐbˈɛnad͡ʒən
abenaya,a1050,ɐbˈɛne͡ɪə
abenayan,a10505,ɐbˈɛne͡ɪən
abeni,a1050,ɐbˈɛni
abera,a1060,ˌabəɹˈa
aberna,a10650,ˌabənˈa
abesha,a1020,ɐbˈɛʃə
abeshek,a10202,ɐbˈɛʃɛk
abetha,a1030,ɐbˈɛθə
abeyan,a105,ɐbˈe͡ɪən
abezag,a10202,ɐbˈɛzaɡ
abghishek,a120202,ɐbɡˈɪʃɛk
abha,a100,ɐbhˈa
abhaidev,a10301,ɐbhˈe͡ɪdɛv
abhaijeet,a10203,ɐbhˈe͡ɪd͡ʒiːt
abharajithan,a106020305,ɐbhˈaɹɐd͡ʒˌɪθən
abharana,a106050,ɐbhɐɹˈɑːnə
abhari,a1060,ɐbhˈɑːɹi
abharn,a1065,ɐbhˈɑːn
abharna,a10650,ɐbhˈɑːnə
abharnah,a10650,ɐbhˈɑːnə
abharnan,a106505,ɐbhˈɑːnən
abhas,a102,ɐbhˈaz
abhash,a1020,ɐbhˈaʃ
abhati,a1030,ɐbhˈɑːti
abhav,a101,ɐbhˈav
abhavya,a1010,ɐbhˈavɪə
abhay,a100,ɐbhˈe͡ɪ
abhaya,a100,ɐbhˈe͡ɪə
abhayam,a105,ɐbhˈe͡ɪam
abhayan,a105,ɐbhˈe͡ɪən
abhayananda,a1050530,ɐbhˌe͡ɪɐnˈandə
abhayankar,a105206,ɐbhˈe͡ɪɐŋkˌɑː
abhaykumar,a1020506,ɐbhˈe͡ɪkjuːmə
abheek,a102,ɐbhˈiːk
abheer,a106,ɐbhˈi͡ə
abheera,a1060,ɐbhˈi͡əɹə
abheesha,a1020,ɐbhˈiːʃə
abheesht,a10203,ɐbhˈiːʃt
abheet,a103,ɐbhˈiːt
abhey,a100,ɐbhˈa͡ɪ
abhi,a100,ɐbhˈa͡ɪ
abhibhava,a101010,ɐbhɪbhˈɑːvə
abhicandra,a10205360,ɐbhˈɪkandɹə
abhichandra,a10205360,ɐbhˈɪt͡ʃʌndɹə
abhideep,a10301,ɐbhˈɪdiːp
abhidha,a1030,ɐbhˈɪdhə
abhidharm,a103065,ɐbhˈɪdhɑːm
abhidhya,a1030,ɐbhˈɪdɪə
abhidi,a1030,ɐbhˈɪdi
abhigjna,a10250,ɐbhˈɪɡd͡ʒnə
abhigna,a10250,ɐbhˈɪɡnə
abhignya,a10250,ɐbhˈɪɡnjə
abhigyaan,a10205,ɐbhˈɪd͡ʒɪˌɑːn
abhigyna,a102050,ɐbhɪd͡ʒˈiːnə
abhihas,a102,ɐbhˈɪhəz
abhihita,a1030,ɐbhɪhˈiːtə
abhijaat,a10203,ɐbhˈɪd͡ʒɑːt
abhijaata,a102030,ɐbhˈɪd͡ʒɑːtə
abhijan,a10205,ɐbhˈɪd͡ʒən
abhijat,a10203,ɐbhˈɪd͡ʒat
abhijata,a102030,ɐbhɪd͡ʒˈɑːtə
abhijath,a102030,ɐbhˈɪd͡ʒaθ
abhijay,a1020,ɐbhˈɪd͡ʒe͡ɪ
abhijaya,a1020,ɐbhˈɪd͡ʒe͡ɪə
abhijeet,a10203,ɐbhˈɪd͡ʒiːt
abhijeeth,a102030,ɐbhˈɪd͡ʒiːθ
abhijit,a10203,ɐbhˈɪd͡ʒɪt
abhijita,a102030,ɐbhɪd͡ʒˈiːtə
abhijith,a102030,ɐbhˈɪd͡ʒɪθ
abhijiti,a102030,ɐbhɪd͡ʒˈiːti
abhijna,a10250,ɐbhˈe͡ɪnə
abhijun,a10205,ɐbhˈɪd͡ʒʌn
abhijvala,a1021040,ɐbhe͡ɪvˈɑːlə
abhik,a102,ɐbhˈɪk
abhikam,a10205,ɐbhˈɪkam
abhikanksha,a1020520,ɐbhˈɪkaŋkʃə
abhikaran,a1020605,ɐbhˈɪkaɹən
abhikarna,a1020650,ɐbhˈɪkɑːnə
abhikarsh,a1020620,ɐbhˈɪkɑːʃ
abhikashini,a10202050,ɐbhˈɪkɐʃˌa͡ɪni
abhikharnikaa,a102065020,ɐbhˈɪkɑːnˌɪkɑː
abhilaash,a104020,ɐbhˈɪlɑːʃ
abhilaasha,a104020,ɐbhɪlˈɑːʃə
abhilasa,a104020,ɐbhɪlˈɑːsə
abhilash,a104020,ɐbhˈɪlaʃ
abhilasha,a104020,ɐbhɪlˈaʃə
abhilasya,a104020,ɐbhˈɪlɐsɪə
